list_name,name,label::Arabic,label::English,region,district,Items
Region,LBY01,الشرق (برقة),East (Cyrenaica),,,
Region,LBY02,الغرب (إقليم طرابلس),West (Tripolitania),,,
Region,LBY03,الجنوب (فزان),South (Fezzan),,,
District,LBY0101,درنه,Derna,LBY01,,
District,LBY0102,المرج,Almarj,LBY01,,
District,LBY0103,بنغازي,Benghazi,LBY01,,
District,LBY0104,طبرق,Tobruk,LBY01,,
District,LBY0105,اجدابيا,Ejdabia,LBY01,,
District,LBY0106,الجبل الاخضر,Al Jabal Al Akhdar,LBY01,,
District,LBY0107,الكفرة,Alkufra,LBY01,,
District,LBY0201,سرت,Sirt,LBY02,,
District,LBY0202,نالوت,Nalut,LBY02,,
District,LBY0203,المرقب,Almargeb,LBY02,,
District,LBY0204,طرابلس,Tripoli,LBY02,,
District,LBY0205,الجفارة,Aljfara,LBY02,,
District,LBY0206,الزاوية,Azzawya,LBY02,,
District,LBY0207,مصراته,Misrata,LBY02,,
District,LBY0208,زوارة,Zwara,LBY02,,
District,LBY0209,الجبل الغربي,Al Jabal Al Gharbi,LBY02,,
District,LBY0301,مرزق,Murzuq,LBY03,,
District,LBY0302,غات,Ghat,LBY03,,
District,LBY0303,اوباري,Ubari,LBY03,,
District,LBY0304,الجفرة,AlJufra,LBY03,,
District,LBY0305,وادى الشاطئ,Wadi Ashshati,LBY03,,
District,LBY0306,سبها,Sebha,LBY03,,
District,dk,لا أعرف,I don't know,,,
District,dwta,أفضل عدم الاجابة,I perfer not to answer,,,
Municipality,LBY010101,ام الرزم,Umm arrazam,LBY01,LBY0101,
Municipality,LBY010102,درنة,Derna,LBY01,LBY0101,
Municipality,LBY010103,القبة,Alqubba,LBY01,LBY0101,
Municipality,LBY010104,القيقب,Alqayqab,LBY01,LBY0101,
Municipality,LBY010105,الأبرق,Labriq,LBY01,LBY0101,
Municipality,LBY010201,جردس العبيد,Jardas Alabeed,LBY01,LBY0102,
Municipality,LBY010202,المرج,AlMarj,LBY01,LBY0102,
Municipality,LBY010203,الساحل,Assahel,LBY01,LBY0102,
Municipality,LBY010301,الأبيار,Alabyar,LBY01,LBY0103,
Municipality,LBY010302,توكرة,Toukra,LBY01,LBY0103,
Municipality,LBY010303,سلوق,Suloug,LBY01,LBY0103,
Municipality,LBY010304,بنغازي,Benghazi,LBY01,LBY0103,
Municipality,LBY010305,قمينس,Gemienis,LBY01,LBY0103,
Municipality,LBY010401,امساعد,Emsaed,LBY01,LBY0104,
Municipality,LBY010402,بير الأشهب,Bir Alashhab,LBY01,LBY0104,
Municipality,LBY010403,طبرق,Tobruk,LBY01,LBY0104,
Municipality,LBY010501,إجخرة,Ejkherra,LBY01,LBY0105,
Municipality,LBY010502,جالو,Jalu,LBY01,LBY0105,
Municipality,LBY010503,أوجلة,Aujala,LBY01,LBY0105,
Municipality,LBY010504,اجدابيا,Ejdabia,LBY01,LBY0105,
Municipality,LBY010505,مرادة,Marada,LBY01,LBY0105,
Municipality,LBY010506,البريقة,Albrayga,LBY01,LBY0105,
Municipality,LBY010601,شحات,Shahhat,LBY01,LBY0106,
Municipality,LBY010602,البيضاء,Albayda,LBY01,LBY0106,
Municipality,LBY010701,الكفرة,Alkufra,LBY01,LBY0107,
Municipality,LBY010702,تازربو,Tazirbu,LBY01,LBY0107,
Municipality,LBY020101,خليج السدرة,Khaleej Assidra,LBY02,LBY0201,
Municipality,LBY020102,هراوة,Hrawa,LBY02,LBY0201,
Municipality,LBY020103,سرت,Sirt,LBY02,LBY0201,
Municipality,LBY020201,غدامس,Ghadamis,LBY02,LBY0202,
Municipality,LBY020202,الحرابة,Alharaba,LBY02,LBY0202,
Municipality,LBY020203,كاباو,Kabaw,LBY02,LBY0202,
Municipality,LBY020204,الحوامد,Alhawamid,LBY02,LBY0202,
Municipality,LBY020205,نالوت,Nalut,LBY02,LBY0202,
Municipality,LBY020206,وازن,Wazin,LBY02,LBY0202,
Municipality,LBY020207,درج,Daraj,LBY02,LBY0202,
Municipality,LBY020208,باطن الجبل,Baten Aljabal,LBY02,LBY0202,
Municipality,LBY020301,الخمس,Alkhums,LBY02,LBY0203,
Municipality,LBY020302,مسلاتة,Msallata,LBY02,LBY0203,
Municipality,LBY020303,قصر الأخيار,Qasr  Akhyar,LBY02,LBY0203,
Municipality,LBY020304,القره بولي,Garabolli,LBY02,LBY0203,
Municipality,LBY020305,ترهونة,Tarhuna,LBY02,LBY0203,
Municipality,LBY020401,سوق الجمعة,Suq Aljumaa,LBY02,LBY0204,
Municipality,LBY020402,تاجوراء,Tajoura,LBY02,LBY0204,
Municipality,LBY020403,عين زارة,Ain Zara,LBY02,LBY0204,
Municipality,LBY020404,طرابلس المركزية,Tripoli Center,LBY02,LBY0204,
Municipality,LBY020405,ابوسليم,Abusliem,LBY02,LBY0204,
Municipality,LBY020406,حي الأندلس,Hai Alandalus,LBY02,LBY0204,
Municipality,LBY020501,سيدي السايح,Sidi Assayeh,LBY02,LBY0205,
Municipality,LBY020502,سوق الخميس,Suq Alkhamees,LBY02,LBY0205,
Municipality,LBY020503,قصر بن غشير,Qasr Bin Ghasheer,LBY02,LBY0205,
Municipality,LBY020504,السبيعة,Espeaa,LBY02,LBY0205,
Municipality,LBY020505,سواني بن آدم,Swani Bin Adam,LBY02,LBY0205,
Municipality,LBY020506,جنزور,Janzour,LBY02,LBY0205,
Municipality,LBY020507,العزيزية,Al Aziziya,LBY02,LBY0205,
Municipality,LBY020508,الماية,Al Maya,LBY02,LBY0205,
Municipality,LBY020509,الزهراء,Azzahra,LBY02,LBY0205,
Municipality,LBY020601,الزاوية,Azzawya,LBY02,LBY0206,
Municipality,LBY020602,صرمان,Surman,LBY02,LBY0206,
Municipality,LBY020603,غرب الزاوية,Gharb Azzawya,LBY02,LBY0206,
Municipality,LBY020604,الزاوية جنوب,Janoub Azzawya,LBY02,LBY0206,
Municipality,LBY020701,مصراتة,Misrata,LBY02,LBY0207,
Municipality,LBY020702,زليتن,Zliten,LBY02,LBY0207,
Municipality,LBY020703,ابو قرين,Abu Qurayn,LBY02,LBY0207,
Municipality,LBY020704,بني وليد,Bani Waleed,LBY02,LBY0207,
Municipality,LBY020705,تاورغاء,Tawergha,LBY02,LBY0207,
Municipality,LBY020801,العجيلات,Al Ajaylat,LBY02,LBY0208,
